DBN,Female,Percent_Female,Male,Percent_Male,Asian,Percent_Asian,Black,Percent_Black,Hispanic,Percent_Hispanic,Other,Percent_Other,White,Percent_White,Students_with_Disabilities,Percent_Students_with_Disabilities,Poverty,Percent_Poverty,Economic_Need_Index
01M450,323,0.475,357,0.525,80,0.118,113,0.166,366,0.538,17,0.025,104,0.153,184,0.271,452,0.665,0.641
01M539,833,0.475,921,0.525,584,0.333,118,0.067,199,0.113,156,0.089,697,0.397,161,0.092,412,0.235,0.259
02M260,494,0.68,232,0.32,92,0.127,29,0.04,90,0.124,53,0.073,462,0.636,121,0.167,116,0.16,0.2
02M407,242,0.498,244,0.502,34,0.07,108,0.222,93,0.191,20,0.041,231,0.475,80,0.165,133,0.274,0.351
02M408,402,0.72,156,0.28,39,0.07,116,0.208,114,0.204,37,0.066,252,0.452,79,0.142,195,0.349,0.362
02M413,365,0.487,384,0.513,150,0.2,84,0.112,181,0.242,74,0.099,260,0.347,159,0.212,326,0.435,0.41
02M422,206,0.378,339,0.622,71,0.13,118,0.217,235,0.431,20,0.037,101,0.185,152,0.279,393,0.721,0.661
03M415,214,0.684,99,0.316,2,0.006,165,0.527,128,0.409,12,0.038,6,0.019,70,0.224,249,0.796,0.873
03M859,157,0.5,157,0.5,43,0.137,31,0.099,44,0.14,49,0.156,147,0.468,39,0.124,69,0.22,0.304
03M860,139,0.384,223,0.616,8,0.022,223,0.616,116,0.32,8,0.022,7,0.019,92,0.254,298,0.823,0.878
04M372,273,0.48,296,0.52,11,0.019,57,0.1,490,0.861,2,0.004,9,0.016,140,0.246,498,0.875,0.921
04M610,480,1,0,0,39,0.081,123,0.256,283,0.59,19,0.04,16,0.033,88,0.183,375,0.781,0.776
05M148,0,0,374,1,2,0.005,260,0.695,90,0.241,17,0.045,5,0.013,114,0.305,279,0.746,0.802
05M362,371,0.517,347,0.483,64,0.089,148,0.206,280,0.39,40,0.056,186,0.259,116,0.162,347,0.483,0.516
05M499,576,0.458,681,0.542,16,0.013,851,0.677,332,0.264,28,0.022,30,0.024,229,0.182,968,0.77,0.801
05M670,293,0.523,267,0.477,11,0.02,381,0.68,150,0.268,9,0.016,9,0.016,131,0.234,401,0.716,0.78
06M293,334,0.549,274,0.451,8,0.013,24,0.039,556,0.914,4,0.007,16,0.026,89,0.146,492,0.809,0.794
06M346,353,0.495,360,0.505,5,0.007,51,0.072,642,0.9,1,0.001,14,0.02,144,0.202,629,0.882,0.89
06M348,391,0.453,473,0.547,10,0.012,30,0.035,788,0.912,6,0.007,30,0.035,177,0.205,697,0.807,0.835
07X221,345,0.525,312,0.475,11,0.017,162,0.247,467,0.711,5,0.008,12,0.018,172,0.262,619,0.942,0.928
07X223,331,0.5,331,0.5,6,0.009,110,0.166,538,0.813,3,0.005,5,0.008,132,0.199,629,0.95,0.907
07X500,278,0.508,269,0.492,12,0.022,128,0.234,396,0.724,4,0.007,7,0.013,109,0.199,435,0.795,0.852
07X551,287,0.489,300,0.511,2,0.003,190,0.324,372,0.634,5,0.009,18,0.031,169,0.288,530,0.903,0.941
08X269,361,0.56,284,0.44,5,0.008,132,0.205,497,0.771,1,0.002,10,0.016,173,0.268,545,0.845,0.905
08X367,255,0.387,404,0.613,70,0.106,178,0.27,391,0.593,8,0.012,12,0.018,179,0.272,506,0.768,0.834
08X376,213,0.478,233,0.522,23,0.052,75,0.168,333,0.747,9,0.02,6,0.013,127,0.285,370,0.83,0.883
09X231,0,0,527,1,2,0.004,288,0.546,221,0.419,11,0.021,5,0.009,140,0.266,411,0.78,0.809
09X241,294,0.485,312,0.515,3,0.005,178,0.294,417,0.688,6,0.01,2,0.003,171,0.282,571,0.942,0.904
