"","DBN","School.Name","total_avg_SAT","Percent_Poverty","score_category","Attendance"
"1","01M292","Henry Street School for International Studies",816,0.812,"Below Average",0.918
"2","01M448","University Neighborhood High School",792,0.867,"Below Average",0.9121
"3","01M450","East Side Community School",882,0.665,"Below Average",0.9471
"4","01M509","Marta Valle High School",851,0.882,"Below Average",0.7969
"5","01M539","New Explorations into Science, Technology and Math High School",1258,0.235,"Above Average",0.9333
"6","01M696","Bard High School Early College",1275,0.402,"Above Average",0.9503
"13","02M288","Food and Finance High School",863,0.827,"Below Average",0.8801
"14","02M294","Essex Street Academy",806,0.676,"Below Average",0.8873
"15","02M296","High School of Hospitality Management",884,0.9,"Below Average",0.8426
"16","02M298","Pace High School",865,0.78,"Below Average",0.8704
"17","02M300","Urban Assembly School of Design and Construction",862,0.798,"Below Average",0.8148
"18","02M303","Facing History School",722,0.79,"Below Average",0.8019
"19","02M305","Urban Assembly Academy of Government and Law",784,0.827,"Below Average",0.8526
"20","02M308","Lower Manhattan Arts Academy",846,0.752,"Below Average",0.8654
"21","02M316","Urban Assembly School of Business for Young Women",838,0.844,"Below Average",0.8117
"22","02M374","Gramercy Arts High School",905,0.791,"Below Average",0.8398
"23","02M376","NYC iSchool",1033,0.341,"Below Average",0.9484
"24","02M392","Manhattan Business Academy",817,0.87,"Below Average",0.8499
"25","02M393","Business of Sports School",781,0.725,"Below Average",0.8573
"26","02M399","High School for Language and Diplomacy",879,0.755,"Below Average",0.8335
"27","02M400","High School for Environmental Studies",923,0.82,"Below Average",0.8625
"28","02M407","Institute for Collaborative Education",1051,0.274,"Above Average",0.9087
"29","02M408","Professional Performing Arts High School",1016,0.349,"Below Average",0.8995
"30","02M411","Baruch College Campus High School",1118,0.387,"Above Average",0.9618
"31","02M412","NYC Lab School for Collaborative Studies",1145,0.261,"Above Average",0.9416
"32","02M413","School of the Future High School",1067,0.435,"Above Average",0.9356
"33","02M414","NYC Museum School",1090,0.561,"Above Average",0.9321
"34","02M416","Eleanor Roosevelt High School",1258,0.194,"Above Average",0.9639
"35","02M418","Millennium High School",1137,0.493,"Above Average",0.9687
"36","02M419","Landmark High School",772,0.8,"Below Average",0.8019
"37","02M420","High School for Health Professions and Human Services",897,0.695,"Below Average",0.9203
"39","02M425","Leadership and Public Service High School",786,0.829,"Below Average",0.8335
"40","02M427","Manhattan Academy for Arts and Language",684,0.979,"Below Average",0.8633
"42","02M437","Hudson High School of Learning Technologies",785,0.803,"Below Average",0.826
"43","02M438","International High School at Union Square",733,0.86,"Below Average",0.8868
"44","02M439","Manhattan Village Academy",1001,0.768,"Below Average",0.9812
"45","02M449","Vanguard High School",840,0.726,"Below Average",0.8725
"46","02M459","Manhattan International High School",796,0.706,"Below Average",0.8769
"47","02M475","Stuyvesant High School",1451,0.417,"Above Average",0.9693
"48","02M489","High School of Economics and Finance",911,0.757,"Below Average",0.8992
"49","02M500","Unity Center for Urban Technologies",760,0.914,"Below Average",0.8084
"50","02M507","Urban Assembly Gateway School for Technology",877,0.572,"Below Average",0.9238
"51","02M519","Talent Unlimited High School",983,0.56,"Below Average",0.9102
"52","02M520","Murry Bergtraum High School for Business Careers",833,0.769,"Below Average",0.7658
"53","02M529","Jacqueline Kennedy Onassis High School",840,0.767,"Below Average",0.78
"54","02M531","Repertory Company High School for Theatre Arts",876,0.675,"Below Average",0.9106
"57","02M542","Manhattan Bridges High School",769,0.87,"Below Average",0.9061
"58","02M543","New Design High School",777,0.775,"Below Average",0.8286
"59","02M545","High School for Dual Language and Asian Studies",1066,0.886,"Above Average",0.9846
"61","02M551","Urban Assembly New York Harbor School",899,0.546,"Below Average",0.8886
"62","02M580","Richard R. Green High School of Teaching",826,0.821,"Below Average",0.9054
"63","02M600","High School of Fashion Industries",875,0.808,"Below Average",0.9039
"65","02M615","Chelsea Career and Technical Education High School",857,0.78,"Below Average",0.8577
"66","02M630","Art and Design High School",930,0.555,"Below Average",0.8957
"67","02M655","Life Sciences Secondary School",875,0.788,"Below Average",0.7748
"68","03M299","High School for Arts, Imagination, and Inquiry",764,0.795,"Below Average",0.8142
"69","03M307","Urban Assembly School for Media Studies",811,0.87,"Below Average",0.8515
"70","03M402","Urban Assembly School for Green Careers",764,0.852,"Below Average",0.8196
"71","03M403","Global Learning Collaborative",813,0.816,"Below Average",0.8573
"72","03M415","Wadleigh Secondary School for the Performing and Visual Arts",782,0.796,"Below Average",0.8311
"73","03M417","Frank McCourt High School",980,0.53,"Below Average",0.9162
"74","03M479","Beacon High School",1169,0.361,"Above Average",0.9685
"75","03M485","Fiorello H. LaGuardia High School of Music and Art and Performing Arts",1184,0.283,"Above Average",0.9515
"76","03M492","High School for Law, Advocacy, and Community Justice",832,0.897,"Below Average",0.8578
"77","03M494","High School of Arts and Technology",849,0.848,"Below Average",0.8047
"78","03M541","Manhattan / Hunter Science High School",1112,0.59,"Above Average",0.9741
"80","03M860","Frederick Douglass Academy II Secondary School",774,0.823,"Below Average",0.7861
"83","04M435","Manhattan Center for Science and Mathematics",1061,0.804,"Above Average",0.9404
"84","04M495","Park East High School",862,0.807,"Below Average",0.942
"85","04M555","Central Park East High School",951,0.78,"Below Average",0.9687
"86","04M610","Young Women's Leadership School",943,0.781,"Below Average",0.9066
"87","04M680","Heritage School",765,0.898,"Below Average",0.885
"89","05M304","Mott Hall High School",861,0.92,"Below Average",0.8479
"90","05M362","Columbia Secondary School",1144,0.483,"Above Average",0.9062
"92","05M369","Urban Assembly School for the Performing Arts",778,0.829,"Below Average",0.8245
"93","05M499","Frederick Douglass Academy",915,0.77,"Below Average",0.8509
"94","05M670","Thurgood Marshall Academy for Learning and Social Change",796,0.716,"Below Average",0.8809
"95","05M692","High School for Mathematics, Science, and Engineering at City College",1293,0.403,"Above Average",0.9531
"97","06M293","City College Academy of the Arts",940,0.809,"Below Average",0.904
"98","06M346","Community Health Academy of the Heights",776,0.882,"Below Average",0.8263
"99","06M348","Washington Heights Expeditionary Learning School",866,0.807,"Below Average",0.8854
"101","06M462","College Academy",744,0.96,"Below Average",0.819
"102","06M463","High School for Media and Communications",759,0.955,"Below Average",0.8951
"103","06M467","High School for Law and Public Service",795,0.896,"Below Average",0.8053
"104","06M468","High School for Health Careers and Sciences",759,0.981,"Below Average",0.8879
"105","06M540","A. Philip Randolph Campus High School",912,0.855,"Below Average",0.8534
"106","06M552","Gregorio Luperon High School for Science and Mathematics",738,0.992,"Below Average",0.9137
"107","07X221","South Bronx Preparatory (College Board)",833,0.942,"Below Average",0.8909
"110","07X334","International Community High School",683,0.976,"Below Average",0.8891
"111","07X427","Community School for Social Justice",762,0.899,"Below Average",0.8078
"112","07X473","Mott Haven Village Preparatory High School",750,0.968,"Below Average",0.7658
"113","07X495","University Heights Secondary School",866,0.817,"Below Average",0.9383
"114","07X500","Hostos-Lincoln Academy of Science",914,0.795,"Below Average",0.8794
"117","07X527","Bronx Leadership Academy II High School",739,0.941,"Below Average",0.8553
"119","07X548","Urban Assembly School for Careers in Sports",807,0.837,"Below Average",0.822
"120","07X551","Urban Assembly Bronx Academy of Letters",798,0.903,"Below Average",0.8254
"121","07X600","Alfred E. Smith Career and Technical Education High School",763,0.923,"Below Average",0.8651
"122","07X670","Health Opportunities High School",760,0.869,"Below Average",0.8216
"123","08X269","Bronx Studio School for Writers and Artists",829,0.845,"Below Average",0.8519
"124","08X282","Women's Academy of Excellence",776,0.903,"Below Average",0.7887
"125","08X293","Renaissance High School for Musical Theater and Technology",801,0.715,"Below Average",0.8355
"127","08X312","Millennium Art Academy",809,0.742,"Below Average",0.8362
"132","08X367","Archimedes Academy for Math, Science, and Technology Applications",848,0.768,"Below Average",0.8426
"133","08X376","Antonia Pantoja Preparatory Academy (College Board)",850,0.83,"Below Average",0.8286
"134","08X405","Herbert H. Lehman High School",845,0.775,"Below Average",0.8533
"136","08X452","Bronx Guild",758,0.857,"Below Average",0.8005
"138","08X530","Banana Kelly High School",769,0.874,"Below Average",0.8181
"142","09X227","Bronx Collegiate Academy",796,0.881,"Below Average",0.8461
"143","09X231","Eagle Academy for Young Men",808,0.78,"Below Average",0.8758
"144","09X241","Urban Assembly School for Applied Math and Science",863,0.942,"Below Average",0.8407
"145","09X250","Eximius College Preparatory Academy (College Board)",791,0.814,"Below Average",0.8858
"146","09X252","Mott Hall Bronx High School",816,0.916,"Below Average",0.8393
"147","09X260","Bronx Center for Science and Mathematics",981,0.877,"Below Average",0.9137
"148","09X263","Validus Preparatory Academy: An Expeditionary Learning School",757,0.889,"Below Average",0.815
"150","09X297","Morris Academy for Collaborative Studies",796,0.941,"Below Average",0.849
"151","09X324","Bronx Early College Academy for Teaching and Learning",837,0.878,"Below Average",0.8966
"153","09X329","DreamYard Preparatory School",770,0.886,"Below Average",0.8473
"155","09X365","Academy for Language and Technology",705,1,"Below Average",0.8864
"156","09X403","Bronx International High School",685,0.892,"Below Average",0.7991
"157","09X404","School for Excellence",762,0.871,"Below Average",0.734
"158","09X412","Bronx High School of Business",725,0.931,"Below Average",0.8287
"159","09X413","Bronx High School for Medical Science",852,0.814,"Below Average",0.8895
"160","09X505","Bronx School for Law, Government, and Justice",812,0.863,"Below Average",0.8846
"161","09X517","Frederick Douglass Academy III Secondary School",773,0.863,"Below Average",0.7659
"162","09X525","Bronx Leadership Academy High School",747,0.873,"Below Average",0.7878
"163","09X543","High School for Violin and Dance",764,0.917,"Below Average",0.7667
"165","10X141","Riverdale/Kingsbridge Academy",981,0.508,"Below Average",0.8965
"166","10X213","Bronx Engineering and Technology Academy",800,0.928,"Below Average",0.7897
"167","10X225","Theatre Arts Production Company School",823,0.793,"Below Average",0.832
"168","10X237","Marie Curie School for Medicine, Nursing, and Health Professions",843,0.758,"Below Average",0.7925
"169","10X243","West Bronx Academy for the Future",787,0.943,"Below Average",0.8627
"171","10X268","Kingsbridge International High School",677,0.961,"Below Average",0.8526
"172","10X284","Bronx School of Law and Finance",778,0.881,"Below Average",0.7832
"173","10X342","International School for Liberal Arts",777,0.981,"Below Average",0.8758
"176","10X368","In-Tech Academy",845,0.859,"Below Average",0.8859
"177","10X374","Knowledge and Power Preparatory Academy International High School (KAPPA)",825,0.871,"Below Average",0.8502
"178","10X433","High School for Teaching and the Professions",733,0.867,"Below Average",0.8443
"179","10X434","Belmont Preparatory High School",821,0.844,"Below Average",0.8908
"180","10X437","Fordham High School for the Arts",802,0.893,"Below Average",0.9128
"181","10X438","Fordham Leadership Academy for Business and Technology",728,0.824,"Below Average",0.9433
"182","10X439","Bronx High School for Law and Community Service",803,0.898,"Below Average",0.8743
"183","10X440","DeWitt Clinton High School",881,0.788,"Below Average",0.8234
"184","10X442","Celia Cruz Bronx High School of Music",851,0.869,"Below Average",0.9193
"185","10X445","Bronx High School of Science",1374,0.42,"Above Average",0.9685
"186","10X477","Marble Hill High School for International Studies",868,0.891,"Below Average",0.9308
"188","10X546","Bronx Theatre High School",766,0.841,"Below Average",0.8049
"189","10X549","Discovery High School",828,0.859,"Below Average",0.8859
"191","10X696","High School of American Studies at Lehman College",1341,0.238,"Above Average",0.9625
"192","11X249","Bronx Health Sciences High School",828,0.695,"Below Average",0.9389
"193","11X253","Bronx High School for Writing and Communication Arts",817,0.707,"Below Average",0.8326
"194","11X265","Bronx Lab School",823,0.833,"Below Average",0.8095
