DBN,Attendance
01M015,92.57%
01M019,90.55%
01M020,92.06%
01M034,88.45%
01M063,90.80%
01M064,88.60%
01M110,93.83%
01M134,89.30%
01M140,88.49%
01M142,90.56%
01M184,97.55%
01M188,87.78%
01M292,91.80%
01M315,94.58%
01M332,91.73%
01M361,91.76%
01M363,93.43%
01M364,93.01%
01M378,89.18%
01M448,91.21%
01M450,94.71%
01M458,53.34%
01M509,79.69%
01M515,74.38%
01M539,93.33%
01M650,57.98%
01M696,95.03%
01M839,95.07%
02M001,94.24%
02M002,96.32%
02M003,93.50%
02M006,95.48%
02M011,94.87%
02M033,92.82%
02M040,95.65%
02M041,95.84%
02M042,97.08%
02M047,90.00%
02M051,91.32%
02M059,95.68%
02M077,96.76%
02M089,96.14%
02M104,96.46%
02M111,91.45%
02M114,97.38%
02M116,94.21%
02M124,97.81%
02M126,96.73%
02M130,97.96%
02M131,97.28%
02M135,86.15%
02M139,84.53%
02M150,96.00%
02M151,93.17%
02M158,95.21%
02M167,95.86%
02M177,94.94%
02M183,95.77%
02M198,94.38%
02M212,94.74%
02M217,95.02%
02M225,93.16%
02M234,95.58%
02M255,97.20%
02M260,92.49%
02M267,95.39%
02M276,95.47%
02M280,89.33%
02M281,94.72%
02M282,89.17%
02M288,88.01%
02M289,96.92%
02M290,95.55%
02M294,88.73%
02M296,84.26%
02M297,94.24%
02M298,87.04%
02M300,81.48%
02M303,80.19%
02M305,85.26%
02M308,86.54%
02M312,98.17%
02M313,67.49%
02M316,81.17%
02M340,94.33%
02M343,95.59%
02M347,90.38%
02M374,83.98%
02M376,94.84%
02M392,84.99%
02M393,85.73%
02M394,92.18%
02M397,95.01%
02M399,83.35%
02M400,86.25%
02M407,90.87%
02M408,89.95%
02M411,96.18%
02M412,94.16%
02M413,93.56%
02M414,93.21%
02M416,96.39%
02M418,96.87%
02M419,80.19%
02M420,92.03%
02M422,83.92%
02M425,83.35%
02M427,86.33%
02M432,80.78%
02M437,82.60%
02M438,88.68%
02M439,98.12%
02M442,96.65%
02M449,87.25%
02M459,87.69%
02M475,96.93%
02M489,89.92%
02M500,80.84%
02M507,92.38%
02M519,91.02%
02M520,76.58%
02M527,95.62%
02M529,78.00%
02M531,91.06%
02M533,88.05%
02M534,86.28%
02M542,90.61%
02M543,82.86%
02M544,53.16%
02M545,98.46%
02M546,89.53%
02M550,85.85%
02M551,88.86%
02M560,43.79%
02M565,93.83%
02M570,55.53%
02M575,72.89%
02M580,90.54%
02M586,69.66%
02M600,90.39%
02M605,84.09%
02M615,85.77%
02M630,89.57%
02M655,77.48%
02M896,96.68%
02M933,91.32%
03M009,95.64%
03M054,96.45%
03M075,93.45%
03M076,88.81%
03M084,93.62%
03M087,95.55%
03M145,87.93%
03M149,93.47%
03M163,93.54%
03M165,90.97%
03M166,96.20%
03M180,90.48%
03M185,91.21%
03M191,90.71%
03M199,96.01%
03M241,92.00%
03M242,90.37%
03M243,97.29%
03M245,96.21%
03M247,95.34%
03M250,91.26%
03M256,92.42%
03M258,92.86%
03M291,94.64%
03M299,81.42%
03M307,85.15%
03M333,94.13%
03M334,97.38%
03M402,81.96%
03M403,85.73%
03M404,65.87%
03M415,83.11%
03M417,91.62%
03M421,91.20%
03M452,94.35%
03M479,96.85%
03M485,95.15%
03M492,85.78%
03M494,80.47%
03M505,54.51%
03M541,97.41%
03M859,94.07%
03M860,78.61%
03M862,95.39%
04M007,87.51%
04M012,96.87%
04M037,90.10%
04M038,88.54%
04M057,90.50%
04M072,89.14%
04M083,92.27%
04M096,90.10%
04M102,89.74%
04M108,88.49%
04M112,89.12%
04M146,90.26%
04M155,91.14%
04M171,92.35%
04M182,91.28%
04M206,92.00%
